0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
10,-3.1359596,0.0067452034,0.074793085,-0.08533479,0.012865361,0.1118235,-0.12512182,-0.017027033,-0.1213334,0.17903739,0.012217387,-0.0016731736,0.17742944,-0.20570944,-0.03545585,0.27830142,0.11056211,-0.023760434,-0.028543431,-0.0063103884,-0.0076062675,-0.19766426,0.27436653,-0.109415635,-0.13835174,-0.1730493,0.12001925,-0.0065377387,-0.002281623,-0.001264475,-0.009366932,-0.014398645,0.0084501505,-0.10175566,0.040807635,-0.026856339,-0.11862631,0.010750472,0.006359002,0.02163983,0.15836334,-0.23484011,-0.07541613,-0.08595062,0.23391968,-0.038838282,-0.049097624,0.014808927,-0.04910829,0.15794435,-0.54307246,0.08326759,-0.020786902,0.51376384,-0.011770568,-0.37879124,0.15512697,-0.059230987,0.50185525,-0.24830426,0.16179168,-0.07177507,0.0039004614,-0.04455075,0.08658054,-0.075767994,0.024868997,0.13079081,-0.49172914,0.023914633,-0.15001906,0.416944
11,-3.1363394,0.003986173,0.120307684,-0.083773546,0.0039519924,0.0774807,-0.12964617,-0.015318574,-0.073911175,0.18427083,0.011486991,-0.0062803575,0.20071648,-0.18402557,-0.04098143,0.30642056,0.065873146,-0.016405456,-0.019774958,-0.0110333245,-0.005851926,-0.19294356,0.24783754,-0.08272621,-0.14283508,-0.15944508,0.102625385,-0.0043963576,-0.0043487176,-0.0009900463,-0.039492786,0.00017206006,-0.0007897489,-0.09087027,0.044401858,-0.015342329,-0.13089946,0.017793542,0.020634934,0.020363696,0.13181248,-0.3049014,-0.05865064,-0.041777942,0.302284,-0.013483365,-0.06788027,0.0038049158,-0.014814793,0.10429893,-0.70015466,0.13756394,0.033386346,0.70107645,0.06100175,-0.39103583,0.1504249,0.06270876,0.4567055,-0.19638875,0.19352081,-0.06723328,0.022166733,-0.007993564,0.07975916,-0.0863804,0.0113830995,0.10579178,-0.47199202,0.014346957,-0.12396355,0.39688653
12,3.1360679,0.001414949,-0.10701111,-0.101314604,-0.005172772,0.037828058,-0.09737155,-0.018894223,-0.043699313,0.1928622,0.01909461,-0.0066983276,0.23028572,-0.154325,-0.04082325,0.28156218,0.0601523,-0.019774036,-0.020874549,-0.017562645,-0.00533585,-0.18685764,0.2342377,-0.05826388,-0.119815946,-0.14824006,0.10202197,-0.011890329,-0.0028278816,-0.0028238746,-0.03774181,-0.0014064461,-0.005496353,-0.059006404,0.034109354,-0.013311917,-0.13818917,0.02986454,0.014479081,0.022203008,0.09760629,-0.37475562,-0.045900658,-0.007821012,0.38923806,0.032571886,-0.061794948,-0.014059282,0.01404889,0.050676525,-0.7965874,0.15686928,0.083142444,0.7887106,0.124220796,-0.3512768,0.13661265,0.06884205,0.37397826,-0.18234745,0.21997471,-0.072199345,0.030302152,0.022430895,0.06689518,-0.08507632,0.01874601,0.09205663,-0.45879793,0.013515216,-0.11762922,0.39247766
13,3.0915766,-0.0056274096,-0.07587488,-0.04168542,-0.009305424,0.004212515,-0.037050962,-0.01917964,-0.02806763,0.17900448,0.016039286,-0.0037695218,0.17371796,-0.16664848,-0.037424874,0.21964972,0.069583446,-0.02623753,-0.007513656,-0.021734662,0.0012078696,-0.21194994,0.2239885,-0.033519756,-0.13295816,-0.14606503,0.091073975,-0.012073958,-0.0072458303,-0.006338157,-0.06440035,0.010426455,-0.011582903,-0.042633347,0.04363383,-0.0024170529,-0.11014625,0.05209996,0.03388097,0.018972838,0.08948321,-0.44054788,-0.041606054,0.016283207,0.4513576,0.08172997,-0.084992535,-0.03459872,0.038790267,0.00032960807,-0.88967377,0.19529094,0.12094379,0.8722856,0.1524966,-0.24929006,0.08094099,0.11967172,0.25868526,-0.1337158,0.28041968,-0.060305245,0.013161461,0.06619543,0.037688974,-0.056609828,-0.0047382135,0.073517166,-0.43688518,-0.0061835707,-0.10184311,0.36608407
14,3.076545,0.006290136,-0.09033878,0.001522084,-0.0062682875,-0.007380904,-0.005217946,-0.029402757,-0.010486108,0.15867713,0.016192447,-0.010559548,0.18969814,-0.16564497,-0.041167375,0.22134277,0.052701842,-0.021770667,0.0016980488,-0.025131918,0.005055972,-0.22124916,0.215044,-0.021474864,-0.12990321,-0.14237024,0.083996505,-0.012829994,-0.010072995,-0.007858814,-0.08571969,0.020764478,-0.013175097,-0.03509322,0.051851552,0.0011824248,-0.11137852,0.049305193,0.04858719,0.016944863,0.059558447,-0.46928936,-0.037316576,0.05625407,0.47859672,0.08706076,-0.1085766,-0.039429028,0.056837592,-0.046772208,-0.9355762,0.22705556,0.14715402,0.92970085,0.17052926,-0.19755585,0.032953884,0.17766806,0.22408915,-0.082198404,0.31032968,-0.052591763,-0.011701101,0.09096548,0.019278364,-0.03562918,-0.017252484,0.06124909,-0.42084655,-0.01651449,-0.08815501,0.3483789
15,3.0875096,0.008745242,-0.0736228,0.0075301197,0.00017697511,-0.0052523483,-0.0061765015,-0.020295883,0.0018787043,0.1665839,0.011410744,-0.015275938,0.15316062,-0.17470832,-0.04607678,0.27434942,0.046160776,-0.013966622,0.0024134815,-0.029665163,0.0059665926,-0.22637363,0.21549018,-0.0244952,-0.16544013,-0.14407344,0.075296834,-0.014046366,-0.016648265,-0.010160837,-0.09448121,0.027989134,-0.011048636,-0.035798732,0.062141493,0.0076907324,-0.117409796,0.053648613,0.063307695,0.012084701,0.034292404,-0.48752844,-0.04764764,0.08765794,0.48294362,0.08324212,-0.12180863,-0.04163857,0.057014942,-0.0630013,-0.93402016,0.23105821,0.17171487,0.9461072,0.15265208,-0.165674,0.006540043,0.19464882,0.20555069,-0.06140863,0.32033134,-0.04771624,-0.021135153,0.09755606,0.014451094,-0.027863652,-0.039695863,0.05560501,-0.4136392,-0.02788565,-0.07709047,0.33873695
16,3.0995855,-0.0039433446,-0.06552734,-0.04320391,-0.02142053,-0.0067438767,-0.061997652,-0.017400462,-0.010924552,0.19246775,0.014701601,-0.014035714,0.24052966,-0.1460219,-0.06820096,0.39656615,-0.003396521,0.0026622326,0.019160327,-0.018179443,0.0005036626,-0.24779333,0.18661562,-0.012817787,-0.19404769,-0.11765944,0.039257042,-0.03393482,-0.010214685,-0.015403035,-0.07495281,0.033594415,-0.008681833,-0.042176574,0.05809569,0.042355154,-0.13702355,0.0705758,0.05663405,0.0044917567,0.011328315,-0.5429893,-0.050763983,0.124803565,0.5329921,0.08540155,-0.116814755,-0.052849315,0.039627895,-0.06543292,-0.89202285,0.20804659,0.18457559,0.88465214,0.07976737,-0.15851305,0.08475037,0.101342544,0.18648909,-0.12025977,0.25857642,-0.052685995,-0.013260531,0.08160381,0.04312686,-0.049915582,-0.05120798,0.04187869,-0.41903743,-0.036503088,-0.05538266,0.34759945
17,3.1207252,0.0040479577,-0.10205637,-0.05193962,0.004765494,0.016827507,-0.06488808,-0.02393472,-0.017781101,0.20677494,0.0024852622,-0.003316258,0.17490847,-0.11645883,-0.06440905,0.367366,-0.010551935,0.0041703167,0.008725547,-0.023569707,0.0031561109,-0.22420263,0.19563535,-0.024373576,-0.20262426,-0.11213534,0.036465604,-0.02522982,-0.014903325,-0.011254255,-0.06907251,0.02770485,-0.0047914702,-0.048451696,0.06238633,0.044981964,-0.15451413,0.07870031,0.042598102,0.0064372886,0.043450505,-0.4958817,-0.056283124,0.079497546,0.47770914,0.05749201,-0.086353496,-0.055962767,0.026071997,-0.033775855,-0.8487241,0.18606797,0.1502458,0.8254051,0.08522329,-0.2078917,0.09555166,0.09035117,0.22866206,-0.12834638,0.24505049,-0.05895131,0.0066294377,0.072837755,0.060142945,-0.07446184,-0.052148726,0.04392514,-0.4218797,-0.030184945,-0.056720838,0.349801
18,-3.1186757,0.0034928604,0.10840898,-0.0924478,0.010333697,0.01329903,-0.121417545,-0.008166538,-0.012994647,0.23395997,-0.0045384336,0.008260981,0.11482927,-0.10532942,-0.04776118,0.2463738,-0.006019703,-0.007097732,-0.0056293695,-0.02410492,-0.0041020676,-0.1798179,0.2240613,-0.057450257,-0.166528,-0.12107034,0.06053689,-0.02824923,-0.007968455,-0.0011916345,-0.034924086,0.0026331658,-0.006477875,-0.05047655,0.059366908,0.029470554,-0.17557557,0.070947714,0.019213874,0.0060660536,0.027922042,-0.41790584,-0.06388901,0.0713574,0.39801538,0.0027358045,-0.041566785,-0.032913107,0.005695422,-0.008123644,-0.7536194,0.13697274,0.12463004,0.7132422,0.04994302,-0.28393525,0.13412821,0.046205685,0.3182979,-0.16648144,0.22768126,-0.08504377,0.054890208,0.040381175,0.09532067,-0.11380315,-0.038035642,0.060229097,-0.43581358,-0.020963648,-0.07526032,0.37492052
19,-3.116184,0.010589742,0.12084807,-0.107869424,0.0014222119,0.011010427,-0.1440544,-0.0076935394,-0.021707589,0.23703559,0.00024809863,0.011000352,0.112755954,-0.119527675,-0.042572044,0.24344222,0.005048239,-0.013590897,-0.023614634,-0.014643566,-0.00971727,-0.14945348,0.24856119,-0.080747955,-0.1393235,-0.13565882,0.084990315,-0.017664857,0.0021030707,0.0021697013,-0.010662089,-0.018123671,-0.0011646127,-0.05470397,0.051985096,0.0088344375,-0.16709882,0.032584526,0.0045804186,0.010461096,0.07200673,-0.3509068,-0.07056135,0.020985698,0.33371574,-0.016349336,-0.033607587,-0.0092512565,-0.005303961,0.04814283,-0.65120596,0.106980555,0.0598651,0.58594406,0.06874614,-0.37964684,0.17372115,0.043328673,0.4012385,-0.1874308,0.21569555,-0.106418215,0.081261724,0.03634195,0.11787197,-0.1275794,-0.020472456,0.08272677,-0.4475556,-0.009499773,-0.10002044,0.38896778
